organ_index_id,source_embedding,source_row_id,organ,label,sample_id,image_path_final
20,fruit_embeddings.npy,54,fruit,healthy,mendeley_1054,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1054_1054.jpg
21,fruit_embeddings.npy,58,fruit,healthy,mendeley_1058,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1058_1058.jpg
22,fruit_embeddings.npy,61,fruit,healthy,mendeley_1061,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1061_1061.jpg
23,fruit_embeddings.npy,62,fruit,healthy,mendeley_1062,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1062_1062.jpg
24,fruit_embeddings.npy,66,fruit,healthy,mendeley_1066,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1066_1066.jpg
25,fruit_embeddings.npy,69,fruit,healthy,mendeley_1069,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1069_1069.jpg
26,fruit_embeddings.npy,75,fruit,healthy,mendeley_1075,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1075_1075.jpg
27,fruit_embeddings.npy,78,fruit,healthy,mendeley_1078,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1078_1078.jpg
28,fruit_embeddings.npy,79,fruit,healthy,mendeley_1079,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1079_1079.jpg
29,fruit_embeddings.npy,82,fruit,healthy,mendeley_1082,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1082_1082.jpg
30,fruit_embeddings.npy,83,fruit,healthy,mendeley_1083,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1083_1083.jpg
31,fruit_embeddings.npy,89,fruit,healthy,mendeley_1089,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1089_1089.jpg
32,fruit_embeddings.npy,95,fruit,healthy,mendeley_1095,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1095_1095.jpg
33,fruit_embeddings.npy,98,fruit,healthy,mendeley_1098,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1098_1098.jpg
34,fruit_embeddings.npy,99,fruit,healthy,mendeley_1099,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1099_1099.jpg
35,fruit_embeddings.npy,103,fruit,healthy,mendeley_1103,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1103_1103.jpg
36,fruit_embeddings.npy,108,fruit,healthy,mendeley_1108,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1108_1108.jpg
37,fruit_embeddings.npy,114,fruit,healthy,mendeley_1114,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1114_1114.jpg
38,fruit_embeddings.npy,115,fruit,healthy,mendeley_1115,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1115_1115.jpg
39,fruit_embeddings.npy,121,fruit,healthy,mendeley_1121,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1121_1121.jpg
40,fruit_embeddings.npy,126,fruit,healthy,mendeley_1126,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1126_1126.jpg
41,fruit_embeddings.npy,129,fruit,healthy,mendeley_1129,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1129_1129.jpg
42,fruit_embeddings.npy,135,fruit,healthy,mendeley_1135,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1135_1135.jpg
43,fruit_embeddings.npy,137,fruit,healthy,mendeley_1137,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1137_1137.jpg
44,fruit_embeddings.npy,138,fruit,healthy,mendeley_1138,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1138_1138.jpg
45,fruit_embeddings.npy,139,fruit,healthy,mendeley_1139,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1139_1139.jpg
46,fruit_embeddings.npy,140,fruit,healthy,mendeley_1140,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1140_1140.jpg
47,fruit_embeddings.npy,142,fruit,healthy,mendeley_1142,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1142_1142.jpg
48,fruit_embeddings.npy,144,fruit,healthy,mendeley_1144,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1144_1144.jpg
49,fruit_embeddings.npy,154,fruit,healthy,mendeley_1154,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1154_1154.jpg
50,fruit_embeddings.npy,156,fruit,healthy,mendeley_1156,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1156_1156.jpg
51,fruit_embeddings.npy,159,fruit,healthy,mendeley_1159,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1159_1159.jpg
52,fruit_embeddings.npy,160,fruit,healthy,mendeley_1160,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1160_1160.jpg
53,fruit_embeddings.npy,163,fruit,healthy,mendeley_1163,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1163_1163.jpg
54,fruit_embeddings.npy,170,fruit,healthy,mendeley_1170,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1170_1170.jpg
55,fruit_embeddings.npy,177,fruit,healthy,mendeley_1177,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1177_1177.jpg
56,fruit_embeddings.npy,178,fruit,healthy,mendeley_1178,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1178_1178.jpg
57,fruit_embeddings.npy,183,fruit,healthy,mendeley_1183,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1183_1183.jpg
58,fruit_embeddings.npy,184,fruit,healthy,mendeley_1184,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1184_1184.jpg
59,fruit_embeddings.npy,188,fruit,healthy,mendeley_1188,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1188_1188.jpg
60,fruit_embeddings.npy,195,fruit,healthy,mendeley_1195,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1195_1195.jpg
61,fruit_embeddings.npy,197,fruit,healthy,mendeley_1197,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1197_1197.jpg
62,fruit_embeddings.npy,203,fruit,healthy,mendeley_1203,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1203_1203.jpg
63,fruit_embeddings.npy,212,fruit,healthy,mendeley_1212,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1212_1212.jpg
64,fruit_embeddings.npy,215,fruit,healthy,mendeley_1215,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1215_1215.jpg
65,fruit_embeddings.npy,216,fruit,healthy,mendeley_1216,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1216_1216.jpg
66,fruit_embeddings.npy,218,fruit,healthy,mendeley_1218,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1218_1218.jpg
67,fruit_embeddings.npy,219,fruit,healthy,mendeley_1219,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1219_1219.jpg
68,fruit_embeddings.npy,223,fruit,healthy,mendeley_1223,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1223_1223.jpg
69,fruit_embeddings.npy,225,fruit,healthy,mendeley_1225,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1225_1225.jpg
70,fruit_embeddings.npy,227,fruit,healthy,mendeley_1227,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1227_1227.jpg
71,fruit_embeddings.npy,228,fruit,healthy,mendeley_1228,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1228_1228.jpg
72,fruit_embeddings.npy,233,fruit,healthy,mendeley_1233,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1233_1233.jpg
73,fruit_embeddings.npy,235,fruit,healthy,mendeley_1235,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1235_1235.jpg
74,fruit_embeddings.npy,236,fruit,healthy,mendeley_1236,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1236_1236.jpg
75,fruit_embeddings.npy,238,fruit,healthy,mendeley_1238,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1238_1238.jpg
76,fruit_embeddings.npy,246,fruit,healthy,mendeley_1246,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1246_1246.jpg
77,fruit_embeddings.npy,250,fruit,healthy,mendeley_1250,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1250_1250.jpg
78,fruit_embeddings.npy,259,fruit,healthy,mendeley_1259,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1259_1259.jpg
79,fruit_embeddings.npy,261,fruit,healthy,mendeley_1261,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1261_1261.jpg
80,fruit_embeddings.npy,264,fruit,healthy,mendeley_1264,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1264_1264.jpg
81,fruit_embeddings.npy,266,fruit,healthy,mendeley_1266,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1266_1266.jpg
82,fruit_embeddings.npy,267,fruit,healthy,mendeley_1267,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1267_1267.jpg
83,fruit_embeddings.npy,269,fruit,healthy,mendeley_1269,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1269_1269.jpg
84,fruit_embeddings.npy,274,fruit,healthy,mendeley_1274,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1274_1274.jpg
85,fruit_embeddings.npy,275,fruit,healthy,mendeley_1275,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1275_1275.jpg
86,fruit_embeddings.npy,284,fruit,healthy,mendeley_1284,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1284_1284.jpg
87,fruit_embeddings.npy,285,fruit,healthy,mendeley_1285,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1285_1285.jpg
88,fruit_embeddings.npy,288,fruit,healthy,mendeley_1288,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1288_1288.jpg
89,fruit_embeddings.npy,289,fruit,healthy,mendeley_1289,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1289_1289.jpg
90,fruit_embeddings.npy,291,fruit,healthy,mendeley_1291,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1291_1291.jpg
91,fruit_embeddings.npy,293,fruit,healthy,mendeley_1293,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1293_1293.jpg
92,fruit_embeddings.npy,295,fruit,healthy,mendeley_1295,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1295_1295.jpg
93,fruit_embeddings.npy,300,fruit,healthy,mendeley_1300,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1300_1300.jpg
94,fruit_embeddings.npy,305,fruit,healthy,mendeley_1305,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1305_1305.jpg
95,fruit_embeddings.npy,316,fruit,healthy,mendeley_1316,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1316_1316.jpg
96,fruit_embeddings.npy,320,fruit,healthy,mendeley_1320,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1320_1320.jpg
97,fruit_embeddings.npy,322,fruit,healthy,mendeley_1322,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1322_1322.jpg
98,fruit_embeddings.npy,334,fruit,healthy,mendeley_1334,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1334_1334.jpg
99,fruit_embeddings.npy,338,fruit,healthy,mendeley_1338,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1338_1338.jpg
100,fruit_embeddings.npy,341,fruit,healthy,mendeley_1341,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1341_1341.jpg
101,fruit_embeddings.npy,348,fruit,healthy,mendeley_1348,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1348_1348.jpg
102,fruit_embeddings.npy,351,fruit,healthy,mendeley_1351,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1351_1351.jpg
103,fruit_embeddings.npy,352,fruit,healthy,mendeley_1352,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1352_1352.jpg
104,fruit_embeddings.npy,353,fruit,healthy,mendeley_1353,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1353_1353.jpg
105,fruit_embeddings.npy,355,fruit,healthy,mendeley_1355,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1355_1355.jpg
106,fruit_embeddings.npy,357,fruit,healthy,mendeley_1357,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1357_1357.jpg
107,fruit_embeddings.npy,361,fruit,healthy,mendeley_1361,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1361_1361.jpg
108,fruit_embeddings.npy,362,fruit,healthy,mendeley_1362,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1362_1362.jpg
109,fruit_embeddings.npy,364,fruit,healthy,mendeley_1364,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1364_1364.jpg
110,fruit_embeddings.npy,366,fruit,healthy,mendeley_1366,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1366_1366.jpg
111,fruit_embeddings.npy,374,fruit,healthy,mendeley_1374,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1374_1374.jpg
112,fruit_embeddings.npy,379,fruit,healthy,mendeley_1379,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1379_1379.jpg
113,fruit_embeddings.npy,380,fruit,healthy,mendeley_1380,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1380_1380.jpg
114,fruit_embeddings.npy,383,fruit,healthy,mendeley_1383,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1383_1383.jpg
115,fruit_embeddings.npy,385,fruit,healthy,mendeley_1385,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1385_1385.jpg
116,fruit_embeddings.npy,389,fruit,healthy,mendeley_1389,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1389_1389.jpg
117,fruit_embeddings.npy,391,fruit,healthy,mendeley_1391,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1391_1391.jpg
118,fruit_embeddings.npy,396,fruit,healthy,mendeley_1396,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1396_1396.jpg
119,fruit_embeddings.npy,398,fruit,healthy,mendeley_1398,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1398_1398.jpg
120,fruit_embeddings.npy,399,fruit,healthy,mendeley_1399,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1399_1399.jpg
121,fruit_embeddings.npy,403,fruit,healthy,mendeley_1403,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1403_1403.jpg
122,fruit_embeddings.npy,406,fruit,healthy,mendeley_1406,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1406_1406.jpg
123,fruit_embeddings.npy,409,fruit,healthy,mendeley_1409,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1409_1409.jpg
124,fruit_embeddings.npy,413,fruit,healthy,mendeley_1413,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1413_1413.jpg
125,fruit_embeddings.npy,415,fruit,healthy,mendeley_1415,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1415_1415.jpg
126,fruit_embeddings.npy,424,fruit,healthy,mendeley_1424,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1424_1424.jpg
127,fruit_embeddings.npy,430,fruit,healthy,mendeley_1430,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1430_1430.jpg
128,fruit_embeddings.npy,432,fruit,healthy,mendeley_1432,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1432_1432.jpg
129,fruit_embeddings.npy,438,fruit,healthy,mendeley_1438,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1438_1438.jpg
130,fruit_embeddings.npy,442,fruit,healthy,mendeley_1442,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1442_1442.jpg
131,fruit_embeddings.npy,443,fruit,healthy,mendeley_1443,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1443_1443.jpg
132,fruit_embeddings.npy,448,fruit,healthy,mendeley_1448,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1448_1448.jpg
133,fruit_embeddings.npy,450,fruit,healthy,mendeley_1450,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1450_1450.jpg
134,fruit_embeddings.npy,454,fruit,healthy,mendeley_1454,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1454_1454.jpg
135,fruit_embeddings.npy,457,fruit,healthy,mendeley_1457,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1457_1457.jpg
136,fruit_embeddings.npy,461,fruit,healthy,mendeley_1461,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1461_1461.jpg
137,fruit_embeddings.npy,466,fruit,healthy,mendeley_1466,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1466_1466.jpg
138,fruit_embeddings.npy,468,fruit,healthy,mendeley_1468,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1468_1468.jpg
139,fruit_embeddings.npy,481,fruit,healthy,mendeley_1481,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1481_1481.jpg
140,fruit_embeddings.npy,482,fruit,healthy,mendeley_1482,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1482_1482.jpg
141,fruit_embeddings.npy,483,fruit,healthy,mendeley_1483,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1483_1483.jpg
142,fruit_embeddings.npy,487,fruit,healthy,mendeley_1487,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1487_1487.jpg
143,fruit_embeddings.npy,491,fruit,healthy,mendeley_1491,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1491_1491.jpg
144,fruit_embeddings.npy,493,fruit,healthy,mendeley_1493,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1493_1493.jpg
145,fruit_embeddings.npy,495,fruit,healthy,mendeley_1495,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\healthy\mendeley_mendeley_1495_1495.jpg
146,fruit_embeddings.npy,502,fruit,target_spot,mendeley_3002,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\target_spot\mendeley_mendeley_3002_3002.jpg
147,fruit_embeddings.npy,504,fruit,target_spot,mendeley_3004,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\target_spot\mendeley_mendeley_3004_3004.jpg
148,fruit_embeddings.npy,510,fruit,target_spot,mendeley_3010,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\target_spot\mendeley_mendeley_3010_3010.jpg
149,fruit_embeddings.npy,514,fruit,target_spot,mendeley_3014,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\target_spot\mendeley_mendeley_3014_3014.jpg
150,fruit_embeddings.npy,517,fruit,target_spot,mendeley_3017,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\target_spot\mendeley_mendeley_3017_3017.jpg
151,fruit_embeddings.npy,519,fruit,target_spot,mendeley_3019,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\target_spot\mendeley_mendeley_3019_3019.jpg
152,fruit_embeddings.npy,520,fruit,target_spot,mendeley_3020,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\target_spot\mendeley_mendeley_3020_3020.jpg
153,fruit_embeddings.npy,524,fruit,target_spot,mendeley_3024,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\target_spot\mendeley_mendeley_3024_3024.jpg
154,fruit_embeddings.npy,525,fruit,target_spot,mendeley_3025,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\target_spot\mendeley_mendeley_3025_3025.jpg
155,fruit_embeddings.npy,533,fruit,target_spot,mendeley_3033,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\target_spot\mendeley_mendeley_3033_3033.jpg
156,fruit_embeddings.npy,535,fruit,target_spot,mendeley_3035,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\target_spot\mendeley_mendeley_3035_3035.jpg
157,fruit_embeddings.npy,539,fruit,target_spot,mendeley_3039,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\target_spot\mendeley_mendeley_3039_3039.jpg
158,fruit_embeddings.npy,541,fruit,target_spot,mendeley_3041,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\target_spot\mendeley_mendeley_3041_3041.jpg
159,fruit_embeddings.npy,544,fruit,target_spot,mendeley_3044,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\target_spot\mendeley_mendeley_3044_3044.jpg
160,fruit_embeddings.npy,553,fruit,target_spot,mendeley_3053,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\target_spot\mendeley_mendeley_3053_3053.jpg
161,fruit_embeddings.npy,554,fruit,target_spot,mendeley_3054,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\target_spot\mendeley_mendeley_3054_3054.jpg
162,fruit_embeddings.npy,556,fruit,target_spot,mendeley_3056,C:\Users\Lenovo\Desktop\project\dataset_final\fruit\target_spot\mendeley_mendeley_3056_3056.jpg
